,Name,Year,Ratings,Votes,Genres,Directors,Actors,Information
32,The Lighthouse,(I) (2019),7.5,"121,238","Drama, Fantasy, Horror",Robert Eggers,"['Robert Pattinson', 'Willem Dafoe', 'Valeriia Karaman', 'Logan Hawkes']",Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.
33,Jumanji: The Next Level,(2019),6.7,"169,456","Action, Adventure, Comedy",Jake Kasdan,"['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
34,Ready or Not,(I) (2019),6.8,"96,658","Comedy, Horror, Mystery",Matt Bettinelli-Olpin,"['Tyler Gillett', 'Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
35,Sex Education,(2019– ),8.3,"141,897","Comedy, Drama",Asa Butterfield,"['Emma Mackey', 'Aimee Lou Wood', 'Gillian Anderson']",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
36,Brightburn,(2019),6.1,"74,333","Drama, Horror, Mystery",David Yarovesky,"['Elizabeth Banks', 'David Denman', 'Jackson A. Dunn', 'Abraham Clinkscales']","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?"
37,Marriage Story,(2019),8.0,"227,706","Comedy, Drama, Romance",Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
38,Russian Doll,(2019– ),7.9,"61,843","Adventure, Comedy, Drama",Natasha Lyonne,"['Charlie Barnett', 'Greta Lee', 'Elizabeth Ashley']",A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
39,Anna,(II) (2019),6.6,"55,387","Action, Thriller",Luc Besson,"['Sasha Luss', 'Helen Mirren', 'Luke Evans', 'Cillian Murphy']",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
40,It Chapter Two,(2019),6.5,"192,530","Drama, Fantasy, Horror",Andy Muschietti,"['Jessica Chastain', 'James McAvoy', 'Bill Hader', 'Isaiah Mustafa']","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
41,Good Boys,(II) (2019),6.7,"56,070","Adventure, Comedy",Gene Stupnitsky,"['Jacob Tremblay', 'Keith L. Williams', 'Brady Noon', 'Molly Gordon']","Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party."
42,Joker,(2019),8.5,"857,244","Crime, Drama, Thriller",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
43,Once Upon a Time... in Hollywood,(2019),7.6,"508,201","Comedy, Drama",Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
44,Velvet Buzzsaw,(2019),5.7,"51,713","Horror, Mystery, Thriller",Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Zawe Ashton', 'Tom Sturridge']","A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce."
45,Midway,(2019),6.7,"58,050","Action, Adventure, Drama",Roland Emmerich,"['Ed Skrein', 'Patrick Wilson', 'Woody Harrelson', 'Luke Evans']","The story of the Battle of Midway, told by the leaders and the sailors who fought it."
46,Us,(II) (2019),6.9,"210,310","Horror, Mystery, Thriller",Jordan Peele,"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker']",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
47,Glass,(2019),6.7,"198,067","Drama, Sci-Fi, Thriller",M. Night Shyamalan,"['James McAvoy', 'Bruce Willis', 'Samuel L. Jackson', 'Anya Taylor-Joy']","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
48,Fast & Furious Presents: Hobbs & Shaw,(2019),6.4,"158,808","Action, Adventure, Thriller",David Leitch,"['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
49,Gisaengchung,(2019),8.6,"472,675","Comedy, Drama, Thriller",Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Jo', 'Woo-sik Choi']",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
